,it,ft,bt,km,transmission,ownerno,owner,oem,model,modelyear,centralvariantid,variantname,price,priceactual,pricesaving,pricefixedtext,trendingtext,row_index,registration_year,insurance_validity,fuel_type,seats,kms_driven,rto,ownership,engine_displacement,transmission,year_of_manufacture,top_features,color,engine_type,displacement,max_power,max_torque,no_of_cylinder,values_per_cylinder,value_configuration,fuel_suppy_system,borex_stroke,compression_ratio,turbo_charger,super_charger,length,width,height,wheel_base,front_tread,rear_tread,kerb_weight,gross_weight,gear_box,drive_type,seating_capacity,steering_type,turning_radius,front_brake_type,rear_brake_type,tyre_type,alloy_wheel_size,no_door_numbers,cargo_volumn,top_speed,acceleration,ground_clearance_unladen,city
473,0,Petrol,Hatchback,"49,043",Manual,2,2nd Owner,Hyundai,Hyundai i10,2012,1568,Magna,₹ 3.12 Lakh,₹ 3.27 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",473,May 2012,Third Party insurance,Petrol,5 Seats,"49,043 Kms",AP11,Second Owner,1197 cc,Manual,2012,"Power Steering, Power Windows Front, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Power Antenna, Centeral Locking, Day Night Rear View Mirror",Silver,Kappa Petrol Engine,1197,78.9bhp@6000rpm,111.7Nm@4000rpm,4.0,4.0,DOHC ,MPFI,71 x 75.6 mm,10.5:1 ,No,No,3585mm,1595mm,1550mm,2380mm,1400mm,1385mm,930,,5 Speed,FWD,5,Power,,Ventilated Disc,Drum,"Tubeless,Radial",13,4,,,,,hyderabad
474,0,Petrol,Hatchback,"70,666",Automatic,2,2nd Owner,Maruti,Maruti Celerio,2017,6054,ZXI Optional AMT BSIV,₹ 4.92 Lakh,₹ 4.97 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",474,Apr 2017,Comprehensive,Petrol,5 Seats,"70,666 Kms",TS07,Second Owner,998 cc,Automatic,2017,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",Red,K10B Engine,998,67.04bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,73 X 82 mm,11.0:1,No,No,3695mm,1600mm,1560mm,2425mm,1420mm,1410mm,850kg,1250kg,5 Speed,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,"Tubeless, Radial",,5,235-litres,150 Kmph,15.05 Seconds,,hyderabad
475,0,Diesel,SUV,"1,28,000",Automatic,1,1st Owner,Land Rover,Land Rover Range Rover Sport,2011,4915,TDV6,₹ 37 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",475,Jun 2011,Third Party insurance,Diesel,5 Seats,"1,28,000 Kms",AP09,First Owner,2993 cc,Automatic,2011,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Black,V-Type Engine,2993,241.6bhp@4000rpm,600Nm@2000rpm,6.0,4.0,,CRDI ,81 x 88 mm,,Yes,No,4788mm,2170mm,1784mm,2745mm,1605mm,1612mm,2675kg,3175kg,6-Speed,4WD,5,Power,,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",17,5,,209km/hr,9.2 seconds,,hyderabad
476,0,Diesel,Sedan,"65,815",Automatic,1,1st Owner,Maruti,Maruti Swift Dzire,2018,5825,AMT ZDI Plus,₹ 8 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",476,May 2018,Comprehensive,Diesel,5 Seats,"65,815 Kms",TS08,First Owner,1248 cc,Automatic,2018,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Silver,DDiS Diesel Engine,1248,74.02bhp@4000rpm,190Nm@2000rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,3995mm,1735mm,1515mm,2450mm,1530mm,1520mm,955-990Kg,1405Kg,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,"Tubeless,Radial",15,4,378,,,,hyderabad
477,0,Petrol,Hatchback,"79,000",Manual,1,1st Owner,Maruti,Maruti Alto,2010,3903,LXi,₹ 1.65 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",477,Aug 2010,Third Party insurance,Petrol,5 Seats,"79,000 Kms",AP20,First Owner,796 cc,Manual,2010,"Power Steering, Remote Trunk Opener, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Tinted Glass, Brake Assist, Halogen Headlamps, Usb Auxiliary Input",Maroon,In-Line Engine,796,46.3bhp@6200rpm,62Nm@3000rpm,3.0,4.0,SOHC,MPFI,68.5 x 72.0 mm,,No,No,3495mm,1475mm,1460mm,2360mm,1295mm,1290mm,705kg,1140kg,5 Speed,FWD,5,Power,4.6m,Disc,Drum,"Tubeless,Radial",12,5,,137km/hr,17.7 seconds,,hyderabad
478,0,Petrol,Hatchback,"48,580",Automatic,1,1st Owner,Maruti,Maruti Baleno,2020,5920,1.2 CVT Alpha,₹ 8.31 Lakh,₹ 8.66 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",478,Jun 2020,Comprehensive,Petrol,5 Seats,"48,580 Kms",TS08,First Owner,1197 cc,Automatic,2020,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Others,VVT Petrol Engine,1197,83.1bhp@6000rpm,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3995mm,1745mm,1510mm,2520mm,1515mm,1525mm,935kg,1360kg,CVT,FWD,5,Power,4.9 meters,Disc,Drum,"Tubeless,Radial",16,5,339-litres,180 Kmph,12.36 seconds,,hyderabad
479,0,Petrol,Hatchback,"44,646",Manual,1,1st Owner,Hyundai,Hyundai i20,2018,5699,1.2 Spotz,₹ 6.91 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",479,Dec 2018,Comprehensive,Petrol,5 Seats,"44,646 Kms",TS07,First Owner,1197 cc,Manual,2018,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",White,Kappa VTVT Petrol Engine,1197,81.83bhp@6000rpm,114.7Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3985mm,1734mm,1505mm,2570mm,1505mm,1503mm,1066kg,,5 Speed,FWD,5,Power,5.2 metres,Disc,Drum,Tubeless,,5,295-litres,170 Kmph,13.2 Seconds,,hyderabad
480,0,Petrol,Hatchback,"71,963",Manual,1,1st Owner,Maruti,Maruti Wagon R,2008,6739,LXI,₹ 1.75 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",480,Jun 2011,Comprehensive,Petrol,5 Seats,"71,963 Kms",AP24,First Owner,998 cc,Manual,2008,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking",Red,K10B Petrol Engine,998,67.05bhp@5500rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFI,73  x 79.5 mm,,No,No,3655 mm,1620 mm,1675 mm,2435 mm,,,805-825kg,1340kg,5 Speed,FWD,5,Power,4.7 metres,Disc,Drum,"Tubeless Tyres, Radial",,5,341 Litres,,18.6 Seconds,,hyderabad
481,0,Petrol,Hatchback,"26,678",Manual,2,2nd Owner,Hyundai,Hyundai Grand i10,2017,5604,1.2 Kappa Sportz BSIV,₹ 4.93 Lakh,₹ 5.37 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",481,Dec 2017,Comprehensive,Petrol,5 Seats,"26,678 Kms",TS13,Second Owner,1197 cc,Manual,2017,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Red,Kappa VTVT Petrol Engine,1197,81.86bhp@6000rpm,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3765mm,1660mm,1520mm,2425mm,1479mm,1493mm,1120,,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,Tubeless,,5,256,165 Kmph,12.9 Seconds,,hyderabad
482,0,Diesel,Sedan,"1,52,000",Manual,1,1st Owner,Honda,Honda City,2015,1286,i DTEC V,₹ 5.99 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",482,Aug 2015,Third Party insurance,Diesel,5 Seats,"1,52,000 Kms",TS10,First Owner,1498 cc,Manual,2015,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",White,i DTEC Diesel Engine ,1498,98.6bhp@3600rpm,200Nm@1750rpm,4.0,4.0,DOHC,Direct Injection,76.0 X 82.5 mm,16.0:1,Yes,No,4440mm,1695mm,1495mm,2600mm,1480mm,1465mm,1150kg,,6 Speed ,FWD,5,Power,5.3 metres,Disc,Drum,"Tubeless,Radial",15,4,510-litres,190 Kmph,10 Seconds,,hyderabad
483,0,Diesel,SUV,"1,01,000",Automatic,1,1st Owner,Ford,Ford Endeavour,2016,915,2.2 Titanium AT 4X2,₹ 23.95 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",483,Aug 2016,Third Party insurance,Diesel,7 Seats,"1,01,000 Kms",TS09,First Owner,2198 cc,Automatic,2016,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Maroon,Diesel Engine,2198,158bhp@3200rpm,385Nm@1600-2500rpm,4.0,4.0,DOHC,TDCi,,,Yes,No,4892mm,1860mm,1837mm,2850mm,1475mm,1470mm,1879kg,,6 Speed,FWD,7,Power,,Disc,Disc,"Tubeless,Radial",18,5,,,,,hyderabad
484,0,Diesel,Hatchback,"41,000",Manual,1,1st Owner,Chevrolet,Chevrolet Beat,2012,441,Diesel LT,₹ 3.20 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",484,Jun 2012,Third Party insurance,Diesel,5 Seats,"41,000 Kms",AP09,First Owner,936 cc,Manual,2012,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Day Night Rear View Mirror, Cd Player",Silver,Smartech Engine,936,57.6bhp@4000rpm,150Nm@1750rpm,3.0,4.0,DOHC,MPFI,,,No,No,3640mm,1595mm,1520mm,2375mm,,,1010,,5 Speed,FWD,5,Power,4.58metres,Disc,Drum,"Tubeless,Radial",14,5,170-litres, ,,,hyderabad
485,0,Diesel,SUV,"1,09,000",Manual,1,1st Owner,Toyota,Toyota Fortuner,2018,5503,2.8 2WD MT BSIV,₹ 31.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",485,Jul 2018,Third Party insurance,Diesel,7 Seats,"1,09,000 Kms",TS07,First Owner,2755 cc,Manual,2018,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",White,1-GD FTV Engine,2755,174.5bhp@3400rpm,420Nm@1400-2600rpm,4.0,4.0,DOHC,Direct Injection,,,Yes,No,4795mm,1855mm,1835mm,2745m,,,2360,2610Kg,6 Speed,RWD,7,Power,5.8 metres,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",17,5,,,,,hyderabad
486,0,Diesel,Sedan,"83,000",Manual,1,1st Owner,Skoda,Skoda Rapid,2017,5497,1.5 TDI Style BSIV,₹ 8.25 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",486,Jul 2017,Third Party insurance,Diesel,5 Seats,"83,000 Kms",TS12,First Owner,1498 cc,Manual,2017,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",White,Diesel Engine,1498,108.6bhp@4000rpm,250Nm@1500-2500rpm,4.0,4.0,DOHC,Direct Injection,,,Yes,No,4413mm,1699mm,1466mm,2552mm,,,1210kg,1750Kg,5 Speed,FWD,5,Power,5.3 meters,Disc,Drum,"Tubeless,Radial",16,4,460,185kmph,,120mm,hyderabad
487,0,Diesel,Hatchback,"80,000",Manual,1,1st Owner,Maruti,Maruti Ritz,2012,4137,LDi,₹ 3.75 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",487,Mar 2013,Third Party insurance,Diesel,5 Seats,"80,000 Kms",AP28,First Owner,1248 cc,Manual,2012,"Power Steering, Remote Trunk Opener, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",Blue,DDiS Diesel Engine ,1248,73.94bhp@4000rpm,190Nm@2000rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,3775mm,1680mm,1620mm,2360mm,1470mm,1480mm,1100kg,1520kg,5 Speed,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,"Tubeless,Radial",,5,236-liters,163 Kmph,14 Seconds,,hyderabad
488,0,Diesel,Hatchback,"94,514",Manual,3,3rd Owner,Maruti,Maruti Swift,2011,4204,VDI,₹ 3.23 Lakh,₹ 3.33 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",488,Apr 2011,Third Party insurance,Diesel,5 Seats,"94,514 Kms",AP12,Third Owner,1248 cc,Manual,2011,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",Black,DDiS Diesel Engine,1248,74bhp@4000rpm,190Nm@2000rpm,4.0,4.0,DOHC,CRDI,69.6 X 82 mm,17.6:1,Yes,No,3850mm,1695mm,1530mm,2430mm,1485mm,1495mm,1060kg,1505kg,5 Speed,FWD,5,Power,4.8 metres,Ventilated Disc,Drum,"Tubeless,Radial",14,5,232-litres,158km/hr,13.75 Seconds,,hyderabad
489,0,Petrol,Sedan,"67,037",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,2015,10244,VXI,₹ 4.87 Lakh,₹ 5.24 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",489,Jan 2016,Third Party insurance,Petrol,5 Seats,"67,037 Kms",TS15,First Owner,1197 cc,Manual,2015,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",Silver,,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,,,3995mm,1735,1515,2450,,,880-915,1335,5 Speed,,5,Electric,4.8,Disc,Drum,"Tubeless, Radial",,4,378,,,160,hyderabad
490,0,Diesel,SUV,"1,20,000",Manual,1,1st Owner,Mahindra,Mahindra Scorpio,2004,3668,2.6 SLX,₹ 2.90 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",490,Jul 2004,Third Party insurance,Diesel,8 Seats,"1,20,000 Kms",AP07,First Owner,2179 cc,Manual,2004,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks",Red,In-Line Engine,2179,120bhp@4000rpm,290Nm@1800-2800rpm,4.0,4.0,,CRDI,94 x 94 mm,18.5:1,Yes,No,4430mm,1817mm,1975mm,2680mm,,,2020,2510kg,5 Speed,2WD,8,Power,5.6m,Disc,Drum,"Tubeless,Radial",16,5,460 litres,152km/hr,16.5 seconds,,hyderabad
491,0,Petrol,Hatchback,"35,540",Manual,2,2nd Owner,Toyota,Toyota Glanza,2019,10236,V,₹ 7.09 Lakh,₹ 7.67 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",491,Jan 2020,Comprehensive,Petrol,5 Seats,"35,540 Kms",TS11,Second Owner,1197 cc,Manual,2019,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",White,1.2 L Petrol Engine,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,,,3990mm,1745,1500,2520,,,920-955,1410,5-Speed,,5,Power,4.85,Disc,Drum,"Tubeless, Radial",16,5,318,,,,hyderabad
492,0,Diesel,SUV,"47,627",Manual,1,1st Owner,Renault,Renault Captur,2019,6104,1.5 Diesel Platine,₹ 9.83 Lakh,₹ 9.96 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",492,Dec 2019,Comprehensive,Diesel,5 Seats,"47,627 Kms",TS07,First Owner,1461 cc,Manual,2019,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",Orange,K9K dCi Diesel Engine,1461,108.45bhp@3850rpm,240Nm@1750rpm,4.0,4.0,DOHC,CRDi,,,Yes,No,4329mm,1813mm,1626 mm,2673mm,,,1325,,6 Speed,,5,Power,5.2meters,Disc,Drum,"Radial,Tubeless",R17,5,392 Litres,,13.24 Sec,210mm,hyderabad
493,0,Petrol,Sedan,"98,000",Automatic,1,1st Owner,Toyota,Toyota Corolla Altis,2009,6151,1.8 VL AT,₹ 4.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",493,Aug 2009,Third Party insurance,Petrol,5 Seats,"98,000 Kms",AP09,First Owner,1794 cc,Automatic,2009,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",White,DOHC Dual VVT-i Petrol En,1794,138.1bhp@6400rpm,173Nm@4000rpm,4.0,4.0,DOHC,EFI(Electronic Fuel Injection),,,No,No,4620mm,1776mm,1475mm,2700mm,1530mm,1535mm,1370,,7 Speed,FWD,5,Power,5.3 metres,Ventilated Disc,Solid Disc,"Tubeless,Radial",15,4,475-litres,205km/hr,10.42Seconds,,hyderabad
494,0,Petrol,Hatchback,"55,943",Manual,1,1st Owner,Hyundai,Hyundai i20,2018,5699,1.2 Spotz,₹ 6.72 Lakh,₹ 6.85 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",494,Apr 2018,Third Party insurance,Petrol,5 Seats,"55,943 Kms",TS07,First Owner,1197 cc,Manual,2018,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Silver,Kappa VTVT Petrol Engine,1197,81.83bhp@6000rpm,114.7Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3985mm,1734mm,1505mm,2570mm,1505mm,1503mm,1066kg,,5 Speed,FWD,5,Power,5.2 metres,Disc,Drum,Tubeless,,5,295-litres,170 Kmph,13.2 Seconds,,hyderabad
495,0,Diesel,SUV,"71,000",Automatic,1,1st Owner,Hyundai,Hyundai Creta,2018,1444,1.6 CRDi AT SX Plus,₹ 13.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",495,Sept 2018,Third Party insurance,Diesel,5 Seats,"71,000 Kms",TS07,First Owner,1582 cc,Automatic,2018,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",White,U2 CRDI VGT Engine,1582,126.2bhp@4000rpm,259.9Nm@1900-2750rpm,4.0,4.0,DOHC,CRDi,,,Yes,No,4270mm,1780mm,1630mm,2590mm,,,1320,,6 Speed,FWD,5,Power,5.3 metres,Disc,Drum,Tubeless,17,5,400-litres,190 Kmph,10.5 Seconds,,hyderabad
496,0,Petrol,Hatchback,"1,17,924",Automatic,1,1st Owner,Maruti,Maruti Celerio,2018,6054,ZXI Optional AMT BSIV,₹ 4.57 Lakh,₹ 4.90 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",496,Sept 2018,Third Party insurance,Petrol,5 Seats,"1,17,924 Kms",TS03,First Owner,998 cc,Automatic,2018,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",Others,K10B Engine,998,67.04bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,73 X 82 mm,11.0:1,No,No,3695mm,1600mm,1560mm,2425mm,1420mm,1410mm,850kg,1250kg,5 Speed,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,"Tubeless, Radial",,5,235-litres,150 Kmph,15.05 Seconds,,hyderabad
497,0,Petrol,Hatchback,"92,195",Manual,1,1st Owner,Maruti,Maruti Wagon R,2013,4350,VXI BS IV,₹ 3.11 Lakh,₹ 3.14 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",497,Feb 2014,Comprehensive,Petrol,5 Seats,"92,195 Kms",AP07,First Owner,998 cc,Manual,2013,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",White,K Series Petrol Engine,998,67.1bhp@6200rpm,90Nm@3500rpm,3.0,4.0,,MPFI,,,No,No,3595mm,1495mm,1700mm,2400mm,1295mm,1290mm,885kg,1350kg,5 Speed,FWD,5,Power,4.6metres,Ventilated Disc,Drum,"Tubeless, Radial",14,4,,,,,hyderabad
498,0,Petrol,Sedan,"40,000",Automatic,3,3rd Owner,Hyundai,Hyundai Sonata,2003,1758,AT Leather,₹ 1.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",498,2003,Third Party insurance,Petrol,5 Seats,"40,000 Kms",AP10,Third Owner,2359 cc,Automatic,2003,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cassette Player",Silver,In-Line Engine,2359,"165 @ 5,800 (PS@rpm)","23.6 @ 4,250 (kgm@rpm)",4.0,4.0,DOHC,MPFI,88 x 97 mm,10.5:1,No,No,4800mm,1832mm,1485mm,2730mm,1565mm,1550mm,1533kg,,4 Speed,,5,Power,5.46 m,Disc,Disc,"Tubeless,Radial",16,4,560 litres,,,,hyderabad
499,0,Petrol,Hatchback,"49,009",Automatic,1,1st Owner,Maruti,Maruti Swift,2018,10404,VXI AMT,₹ 6.23 Lakh,₹ 6.80 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",499,Apr 2018,Comprehensive,Petrol,5 Seats,"49,009 Kms",TS07,First Owner,1197 cc,Automatic,2018,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",Blue,K Series Dual jet,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,,,3845mm,1735,1530,2450,1530,1530,875-905,1335,5-Speed,,5,Electric,4.8,Disc,Drum,"Radial, Tubeless",,5,268,,,,hyderabad
500,0,Petrol,SUV,"31,650",Automatic,1,1st Owner,Kia,Kia Sonet,2020,8005,HTK Plus Turbo DCT,₹ 10.90 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",500,Dec 2020,Comprehensive,Petrol,5 Seats,"31,650 Kms",TS07,First Owner,998 cc,Automatic,2020,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",Black,Smartstream G1.0 T-GDi,998,118.36bhp@6000rpm,172nm@1500-4000rpm,3.0,4.0,,GDi,,,Yes,,3995mm,1790mm,1642mm,2500mm,,,1505,,7 Speed DCT,FWD,5,Electric,,Disc,Drum,"Tubeless, Radial",,5,392,,,,hyderabad
501,0,Petrol,MUV,"20,000",Manual,1,1st Owner,Kia,Kia Carens,2022,8424,Prestige Plus Turbo 2022-2023,₹ 16 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",501,2022,Third Party insurance,Petrol,7 Seats,"20,000 Kms",TS12,First Owner,1353 cc,Manual,2022,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",White,Smartstream G1.4 T-GDi,1353,138.05bhp@6000rpm,242nm@1500-3200rpm,4.0,4.0,,GDi,,,Yes,,4540mm,1800mm,1708mm,2780mm,,,1570,,6-Speed,2WD,7,Power,,Disc,Disc,"Tubeless, Radial",16,5,,,,,hyderabad
