,city,fuel_type,body_type,km_driven,transmission,ownerno,model,modelyear,color,cargo_volumn,price
268,bangalore,Petrol,Hatchback,80000,Manual,3,Maruti Wagon R,2008,Others,361,240000
269,bangalore,Diesel,SUV,50000,Manual,1,Hyundai Venue,2019,Others,350,1025000
270,bangalore,Petrol,SUV,10000,Manual,1,Tata Nexon,2023,Others,350,1400000
271,bangalore,Petrol,Hatchback,57000,Manual,2,Hyundai EON,2013,Silver,215,285000
272,bangalore,Diesel,SUV,110000,Manual,1,Mahindra XUV500,2016,Others,720,1000000
273,bangalore,Petrol,Hatchback,10000,Manual,1,Maruti Baleno,2019,Red,339,780000
274,bangalore,Petrol,Hatchback,50000,Manual,2,Maruti Swift,2012,Others,232,475000
275,bangalore,Diesel,SUV,120000,Manual,1,Mahindra XUV300,2019,Red,259,750000
276,bangalore,Petrol,Hatchback,35469,Manual,1,Hyundai Grand i10,2014,Grey,256,555000
277,bangalore,Petrol,Hatchback,40073,Manual,2,Honda Jazz,2017,Others,354,607000
278,bangalore,Petrol,Hatchback,65730,Manual,2,Hyundai Grand i10,2017,Red,256,513999
279,bangalore,Petrol,Sedan,120000,Manual,2,Maruti Baleno,2005,Silver,361,250000
280,bangalore,Petrol,Hatchback,36184,Manual,2,Maruti Baleno,2016,Silver,339,705000
281,bangalore,Petrol,Hatchback,69310,Manual,1,Maruti Baleno,2016,White,339,653000
282,bangalore,Petrol,Sedan,55643,Automatic,1,Honda City,2015,White,510,872000
283,bangalore,Petrol,Hatchback,62803,Automatic,2,Hyundai Grand i10,2017,Red,256,564000
284,bangalore,Diesel,Hatchback,90000,Manual,2,Volkswagen Polo,2011,Others,361,370000
285,bangalore,Petrol,Hatchback,68656,Manual,1,Maruti Swift,2015,Silver,268,550000
286,bangalore,Petrol,Hatchback,77501,Manual,3,Honda Jazz,2016,Brown,354,517000
287,bangalore,Petrol,Sedan,40000,Manual,1,Maruti Swift Dzire,2016,Others,320,620000
288,bangalore,Petrol,Sedan,40000,Manual,1,Maruti Swift Dzire,2016,Others,320,620000
289,bangalore,Petrol,Sedan,48325,Automatic,1,Honda City,2014,White,510,750000
