,city,fuel_type,body_type,km_driven,transmission,ownerno,model,modelyear,color,price
43,bangalore,Petrol,Hatchback,36735,Manual,1,Hyundai Grand i10,2018,Blue,625000
44,bangalore,Diesel,SUV,120000,Manual,2,Mahindra Scorpio,2010,Gray,650000
45,bangalore,Petrol,Hatchback,10000,Automatic,1,Renault KWID,2022,Others,550000
46,bangalore,Diesel,SUV,53645,Manual,1,Tata Nexon,2018,White,825000
47,bangalore,Petrol,Hatchback,53982,Automatic,1,Maruti Celerio,2014,Others,428000
48,bangalore,Diesel,Sedan,110000,Manual,1,Skoda Rapid,2014,Black,695000
49,bangalore,Petrol,SUV,37741,Manual,2,Ford Ecosport,2019,White,930000
50,bangalore,Petrol,Hatchback,17367,Manual,1,Maruti Alto 800,2021,Silver,455000
51,bangalore,Diesel,SUV,94000,Manual,1,Hyundai Creta,2017,Grey,1195000
52,bangalore,Petrol,Hatchback,54601,Manual,3,Maruti Swift,2014,White,442000
53,bangalore,Diesel,Hatchback,110000,Manual,1,Maruti Swift,2018,Others,690000
54,bangalore,Petrol,Hatchback,64000,Manual,2,Maruti Celerio,2017,Red,500000
55,bangalore,Diesel,Sedan,100000,Manual,1,Maruti Ciaz,2015,White,650000
56,bangalore,Petrol,Hatchback,44154,Automatic,2,Honda Jazz,2016,White,537000
57,bangalore,Diesel,MUV,70000,Manual,1,Renault Lodgy,2016,White,750000
58,bangalore,Petrol,Hatchback,68039,Manual,2,Tata Tiago,2017,Orange,468000
59,bangalore,Petrol,Hatchback,60000,Manual,2,Maruti Ritz,2014,Silver,420000
60,bangalore,Petrol,Hatchback,60000,Manual,2,Maruti Ritz,2014,Silver,420000
61,bangalore,Petrol,Hatchback,10000,Manual,1,Hyundai i20,2021,Others,919999
62,bangalore,Petrol,Sedan,49873,Manual,1,Honda City,2013,Yellow,533000
63,bangalore,Petrol,Hatchback,90000,Automatic,3,Volkswagen Polo,2013,Others,850000
64,bangalore,Diesel,Sedan,48960,Manual,2,Skoda Rapid,2017,Silver,751000
65,bangalore,Diesel,Hatchback,70000,Manual,2,Hyundai Grand i10,2014,Others,388000
66,bangalore,Petrol,Hatchback,68000,Manual,2,Hyundai i20,2013,Silver,490000
67,bangalore,Diesel,SUV,23017,Manual,1,Mahindra KUV 100,2016,Orange,494000
68,bangalore,Diesel,Hatchback,83000,Manual,2,Hyundai i20,2013,Brown,525000
