,city,fuel_type,body_type,km_driven,transmission,ownerno,model,modelyear,color,price
1825,chennai,Petrol,Sedan,84505,Manual,2,Honda Amaze,2015,TITANIUM GREY,420000
1826,chennai,Petrol,Hatchback,22305,Manual,1,Maruti Wagon R,2020,Brown,550000
1827,chennai,Petrol,Hatchback,33573,Manual,1,Renault KWID,2019,Silver,421000
1828,chennai,Petrol,Hatchback,33615,Manual,1,Datsun RediGO,2019,Silver,303000
1829,chennai,Petrol,Hatchback,30000,Automatic,2,Honda Jazz,2018,Others,780000
1830,chennai,Petrol,Sedan,34935,Manual,1,Tata Tigor,2020,White,643000
1831,chennai,Petrol,Hatchback,66511,Automatic,2,Maruti Celerio,2018,Orange,474000
1832,chennai,Petrol,Sedan,68979,Manual,1,Maruti Swift Dzire,2017,Blue,644000
1833,chennai,Petrol,MUV,50000,Manual,1,Maruti Ertiga,2021,Gray,1200000
1834,chennai,Petrol,Hatchback,45161,Automatic,2,Maruti Wagon R,2019,Orange,519000
1835,chennai,Diesel,SUV,42917,Manual,1,Ford Ecosport,2018,Blue,811000
1836,chennai,Petrol,Hatchback,20000,Manual,1,Maruti Baleno,2019,Others,725000
1837,chennai,Petrol,Hatchback,32000,Automatic,1,Maruti Baleno,2018,Grey,725000
1838,chennai,Diesel,Hatchback,40000,Manual,1,Hyundai i20,2019,Others,750000
1839,chennai,Petrol,Sedan,29911,Manual,1,Honda City,2020,Lunar Silver Metallic,950000
1840,chennai,Petrol,Sedan,23000,Automatic,1,Hyundai Verna,2018,Grey,925000
1841,chennai,Diesel,Sedan,100000,Manual,2,Tata Zest,2018,Others,525000
1842,chennai,Diesel,Hatchback,53764,Manual,1,Maruti Swift,2015,Grey,550000
1843,chennai,Petrol,Hatchback,61455,Manual,1,Hyundai Grand i10,2015,Silver,500000
1844,chennai,Petrol,SUV,52732,Automatic,2,Jeep Compass,2018,Silver,1209000
1845,chennai,Petrol,Hatchback,61159,Automatic,2,Honda Jazz,2017,Red,656000
1846,chennai,Petrol,Hatchback,90000,Manual,2,Hyundai i20,2010,Others,295000
1847,chennai,Petrol,Sedan,95296,Manual,1,Honda Amaze,2015,Brown,430999
1848,chennai,Petrol,SUV,106506,Manual,1,Hyundai Creta,2018,Black,894999
1849,chennai,Diesel,Sedan,70000,Automatic,2,BMW 5 Series,2012,Others,1500000
1850,chennai,Petrol,Hatchback,108551,Manual,2,Hyundai Grand i10,2015,Red,392000
1851,chennai,Diesel,Sedan,54186,Manual,1,Honda Amaze,2014,Red,470000
1852,chennai,Petrol,Sedan,106848,Automatic,1,Honda Amaze,2018,White,726000
1853,chennai,Petrol,Sedan,38464,Automatic,2,Volkswagen Vento,2020,Brown,1023000
1854,chennai,Petrol,Hatchback,59841,Manual,1,Maruti Ignis,2017,Grey,500000
1855,chennai,Petrol,SUV,19649,Automatic,1,Hyundai Creta,2020,Silver,1590000
1856,chennai,Petrol,SUV,27000,Automatic,1,Kia Seltos,2020,Blue,1425000
1857,chennai,Petrol,Hatchback,20950,Automatic,1,Maruti Alto K10,2018,Red,409999
1858,chennai,Diesel,SUV,50000,Manual,1,Jeep Compass,2018,Others,1250000
1859,chennai,Petrol,Hatchback,39000,Manual,1,Tata Nano,2014,Purple,125000
1860,chennai,Petrol,SUV,55927,Manual,1,Hyundai Creta,2017,White,902999
1861,chennai,Petrol,Hatchback,35325,Manual,2,Hyundai i20,2014,Red,488000
1862,chennai,Petrol,Hatchback,20000,Manual,2,Maruti Baleno,2020,Red,660000
1863,chennai,Petrol,Hatchback,41248,Manual,1,Hyundai i20,2017,Red,604000
1864,chennai,Petrol,Hatchback,70076,Manual,1,Tata Tiago,2016,Brown,417000
1865,chennai,Petrol,SUV,128398,Manual,1,Mahindra XUV300,2016,SILKY SILVER,405000
1866,chennai,Petrol,Hatchback,20973,Automatic,3,Maruti Wagon R,2017,White,444000
1867,chennai,Petrol,Hatchback,90000,Manual,2,Maruti Swift,2007,Others,220000
1868,chennai,Petrol,Sedan,98807,Manual,1,Hyundai Aura,2020,White,615000
1869,chennai,Petrol,Sedan,102249,Manual,2,Honda Amaze,2015,Red,396000
1870,chennai,Petrol,Hatchback,18837,Automatic,1,Hyundai Grand i10,2018,Red,650000
1871,chennai,Diesel,SUV,50000,Manual,1,Jeep Compass,2018,Black,1400000
1872,chennai,Petrol,Hatchback,120000,Manual,1,Hyundai EON,2012,Others,210000
1873,chennai,Petrol,Hatchback,10000,Manual,1,Maruti Alto 800,2020,Others,400000
1874,chennai,Petrol,Hatchback,128876,Automatic,1,Maruti Celerio,2015,Red,350000
1875,chennai,Petrol,Hatchback,37942,Manual,0,Maruti Wagon R,2016,Red,430000
1876,chennai,Petrol,Hatchback,37300,Manual,1,Hyundai Grand i10,2018,Red,515000
1877,chennai,Diesel,Hatchback,82784,Manual,1,Hyundai i20,2014,Red,492000
1878,chennai,Petrol,Sedan,63274,Manual,1,Maruti Swift Dzire,2021,Blue,731000
1879,chennai,Petrol,Hatchback,87521,Automatic,1,Maruti Alto K10,2015,Silver,345000
1880,chennai,Petrol,Hatchback,77388,Manual,2,Hyundai i20 Active,2017,White,523000
1881,chennai,Petrol,Hatchback,114772,Manual,1,Maruti Wagon R,2014,Silver,302000
1882,chennai,Petrol,MUV,62493,Manual,2,Datsun GO Plus,2019,Brown,500000
1883,chennai,Petrol,Sedan,20000,Manual,1,Honda City,2021,Others,1350000
1884,chennai,Petrol,Hatchback,59985,Manual,1,Hyundai Santro,2019,Yellow,472000
1885,chennai,Petrol,Sedan,104073,Manual,2,Maruti Ciaz,2017,Silver,564000
1886,chennai,Diesel,Sedan,100000,Manual,2,Hyundai Xcent,2017,Others,409999
1887,chennai,Diesel,Hatchback,120000,Manual,1,Tata Tiago,2017,Others,470000
1888,chennai,Petrol,Hatchback,53819,Automatic,1,Maruti Baleno,2017,White,630000
1889,chennai,Diesel,Hatchback,98914,Manual,1,Ford Figo,2016,Grey,375000
1890,chennai,Diesel,Sedan,110000,Manual,1,Volkswagen Ameo,2017,Others,520000
1891,chennai,Diesel,SUV,110000,Manual,3,Mahindra XUV500,2015,White,1000000
1892,chennai,Petrol,Sedan,4135,Manual,1,Honda City,2022,Golden Brown,1597000
1893,chennai,Petrol,Hatchback,35000,Automatic,1,Hyundai i20,2019,White,800000
1894,chennai,Petrol,Hatchback,35983,Manual,1,Honda Jazz,2017,Red,575000
1895,chennai,Diesel,SUV,91109,Manual,1,Tata Harrier,2019,White,1422000
1896,chennai,Petrol,Sedan,23325,Manual,1,Hyundai Xcent,2018,Silver,562000
1897,chennai,Petrol,Hatchback,51690,Automatic,1,Honda Jazz,2018,Red,690000
1898,chennai,Petrol,Hatchback,69786,Manual,2,Hyundai i20 Active,2017,White,573000
1899,chennai,Petrol,Sedan,53612,Automatic,2,Tata Tigor,2018,Brown,558000
1900,chennai,Petrol,Hatchback,41502,Manual,1,Maruti Swift,2018,Blue,580000
1901,chennai,Petrol,SUV,43841,Manual,2,Honda WR-V,2017,Brown,684000
1902,chennai,Petrol,Hatchback,110000,Manual,2,Hyundai i20,2010,Silver,290000
1903,chennai,Petrol,SUV,77380,Automatic,1,Ford Ecosport,2018,Silver,762000
1904,chennai,Petrol,Hatchback,69269,Manual,1,Maruti Baleno RS,2018,Red,663000
1905,chennai,Diesel,SUV,53060,Manual,1,Maruti SX4 S Cross,2018,Grey,869999
1906,chennai,Petrol,Sedan,70000,Manual,2,Mitsubishi Cedia,2011,Silver,320000
1907,chennai,Petrol,Sedan,58071,Manual,1,Honda City,2017,Golden Brown,750000
1908,chennai,Diesel,SUV,40000,Manual,1,Ford Ecosport,2021,Others,950000
1909,chennai,Petrol,MUV,20000,Automatic,2,Maruti Ertiga,2020,Others,1025000
1910,chennai,Petrol,Sedan,68283,Manual,2,Maruti Swift Dzire,2008,Black,245000
1911,chennai,Petrol,Sedan,73045,Manual,0,Honda Amaze,2014,Red,395000
1912,chennai,Diesel,SUV,49000,Manual,1,Hyundai Creta,2018,White,1080000
1913,chennai,Diesel,MUV,150000,Manual,1,Chevrolet Tavera,2009,White,200000
1914,chennai,Petrol,Hatchback,47547,Manual,2,Hyundai i20,2016,Blue,608000
1915,chennai,Diesel,Hatchback,100844,Manual,2,Hyundai i20 Active,2017,White,698000
1916,chennai,Diesel,Hatchback,111275,Manual,1,Hyundai i20,2014,White,501999
1917,chennai,Petrol,SUV,71770,Automatic,2,Hyundai Creta,2018,White,1027000
1918,chennai,Petrol,Sedan,40000,Manual,1,Hyundai Verna,2019,Others,900000
1919,chennai,Petrol,SUV,55435,Manual,1,Honda WR-V,2017,Brown,769000
1920,chennai,Petrol,Sedan,51396,Automatic,1,Maruti Swift Dzire,2016,Silver,595000
1921,chennai,Petrol,Hatchback,79063,Manual,2,Maruti Wagon R Stingray,2015,White,375000
1922,chennai,Petrol,Sedan,89570,Manual,1,Maruti Ciaz,2015,White,585000
1923,chennai,Petrol,Sedan,50000,Manual,2,Hyundai Verna,2012,Others,450000
1924,chennai,Diesel,Sedan,100000,Automatic,2,BMW 3 Series,2012,Others,994999
1925,chennai,Petrol,Sedan,18477,Manual,1,Honda City,2021,Brown,1100000
1926,chennai,Petrol,Hatchback,120000,Manual,3,Volkswagen Polo,2014,Others,350000
1927,chennai,Petrol,Sedan,77204,Automatic,1,Maruti Ciaz,2018,Silver,730000
1928,chennai,Diesel,Sedan,70000,Automatic,2,BMW 5 Series,2012,Others,1000000
1929,chennai,Diesel,Sedan,55000,Automatic,2,BMW 3 Series,2012,Grey,1350000
1930,chennai,Petrol,Hatchback,30272,Manual,1,Hyundai Grand i10,2017,White,509999
1931,chennai,Petrol,SUV,64285,Manual,1,Ford Ecosport,2018,White,860000
1932,chennai,Diesel,Hatchback,76697,Manual,3,Hyundai i20,2014,Red,484999
1933,chennai,Diesel,Hatchback,100000,Automatic,1,Mini 5 DOOR,2015,Blue,1700000
1934,chennai,Petrol,Sedan,95291,Automatic,1,Maruti Swift Dzire,2017,Blue,636000
1935,chennai,Petrol,Sedan,84005,Manual,1,Volkswagen Ameo,2017,White,571000
1936,chennai,Petrol,SUV,8000,Automatic,1,Renault Kiger,2021,White,825000
1937,chennai,Petrol,Hatchback,49254,Manual,1,Datsun RediGO,2021,Blue,393000
1938,chennai,Diesel,SUV,20000,Manual,1,Kia Sonet,2021,Black,1100000
1939,chennai,Petrol,Hatchback,97522,Manual,2,Hyundai Grand i10,2016,Others,420000
1940,chennai,Petrol,SUV,34097,Manual,1,Ford Ecosport,2017,White,704000
1941,chennai,Petrol,SUV,10000,Automatic,1,Nissan Magnite,2022,Gray,950000
1942,chennai,Petrol,Hatchback,19252,Manual,0,Hyundai i20,2021,Grey,770000
1943,chennai,Diesel,SUV,30000,Automatic,1,Kia Sonet,2020,Red,1200000
1944,chennai,Petrol,Hatchback,80000,Manual,3,Fiat Grande Punto,2010,Red,120000
1945,chennai,Petrol,Sedan,25581,Manual,1,Maruti Swift Dzire,2021,Silver,750000
1946,chennai,Petrol,Hatchback,20000,Automatic,2,Renault KWID,2019,Others,409999
1947,chennai,Petrol,SUV,20000,Manual,1,Nissan Magnite,2021,Others,1050000
1948,chennai,Diesel,Hatchback,123394,Manual,1,Maruti Baleno,2016,Blue,622000
1949,chennai,Diesel,Hatchback,106275,Manual,2,Volkswagen Polo,2018,Red,730000
1950,chennai,Petrol,Sedan,58416,Manual,1,Honda City,2019,MODERN STEEL METALLIC,950000
1951,chennai,Petrol,Hatchback,18704,Manual,2,Maruti Alto K10,2017,Black,357000
1952,chennai,Petrol,Sedan,27166,Manual,1,Honda City,2015,Grey,621000
1953,chennai,Petrol,Sedan,30000,Automatic,2,Honda City,2020,Others,1125000
1954,chennai,Diesel,SUV,76384,Automatic,1,Kia Seltos,2021,White,1639000
1955,chennai,Diesel,SUV,45000,Automatic,1,Hyundai Creta,2017,White,1215000
1956,chennai,Petrol,Hatchback,17160,Manual,1,Hyundai i20,2016,Red,635000
1957,chennai,Petrol,SUV,15817,Manual,1,Volkswagen Taigun,2022,Silver,1466000
1958,chennai,Petrol,Hatchback,10000,Manual,2,Renault KWID,2021,Others,500000
1959,chennai,Petrol,Hatchback,31268,Manual,0,Renault KWID,2020,Brown,425000
1960,chennai,Petrol,Hatchback,7267,Manual,1,Maruti Celerio,2019,Orange,500000
1961,chennai,Petrol,Hatchback,30000,Manual,2,Honda Jazz,2017,Others,550000
1962,chennai,Petrol,Hatchback,60000,Manual,2,Tata Nano,2012,Others,87000
1963,chennai,Diesel,SUV,100000,Manual,3,Mahindra Scorpio,2013,Others,490000
1964,chennai,Petrol,SUV,30742,Manual,1,Honda WR-V,2018,Red,770000
1965,chennai,Diesel,Hatchback,110000,Manual,1,Maruti Swift,2014,Others,390000
1966,chennai,Diesel,Hatchback,132787,Manual,2,Ford Figo,2010,Grey,210000
1967,chennai,Diesel,SUV,29351,Automatic,1,Tata Nexon,2021,Black,1105000
1968,chennai,Petrol,SUV,10048,Manual,1,Tata Nexon,2018,Blue,725000
1969,chennai,Petrol,Sedan,50000,Manual,2,Maruti Ciaz,2016,Others,580000
1970,chennai,Petrol,Hatchback,14696,Automatic,1,Maruti Baleno,2017,Silver,659000
1971,chennai,Petrol,Hatchback,27153,Manual,1,Renault KWID,2016,White,356000
1972,chennai,Petrol,Hatchback,50000,Manual,1,Hyundai Grand i10,2016,Others,480000
1973,chennai,Petrol,MUV,43879,Manual,1,Renault Triber,2021,Others,689000
1974,chennai,Petrol,Hatchback,40480,Manual,1,Volkswagen Polo,2017,Brown,625000
1975,chennai,Petrol,SUV,32112,Manual,1,Ford Ecosport,2018,Silver,802999
1976,chennai,Petrol,Hatchback,31239,Manual,2,Maruti Celerio,2017,Silver,516000
1977,chennai,Diesel,Sedan,20000,Manual,1,Maruti Ciaz,2018,Silver,950000
1978,chennai,Diesel,SUV,80000,Manual,2,Mahindra XUV500,2014,Others,825000
1979,chennai,Diesel,Hatchback,91112,Manual,1,Mahindra KUV 100 NXT,2017,BERRY RED,375000
1980,chennai,Petrol,Hatchback,68767,Manual,0,Maruti Alto,2009,Red,180000
1981,chennai,Petrol,SUV,10000,Manual,1,Kia Sonet,2022,White,900000
1982,chennai,Petrol,Hatchback,42600,Manual,1,Maruti Alto 800,2013,SILKY SILVER,204999
1983,chennai,Petrol,Hatchback,13270,Manual,0,Maruti Baleno,2021,Blue,710000
1984,chennai,Petrol,Sedan,40000,Manual,1,Maruti Swift Dzire,2019,Others,630000
1985,chennai,Petrol,Sedan,120000,Manual,3,Ford Fiesta,2009,Black,155000
1986,chennai,Petrol,Sedan,22286,Manual,2,Honda City,2017,Silver,799000
1987,chennai,Petrol,Hatchback,12132,Manual,1,Maruti Wagon R,2022,Silver,630000
1988,chennai,Petrol,Hatchback,79048,Manual,1,Tata Tiago,2018,Blue,415000
1989,chennai,Petrol,Hatchback,48360,Manual,3,Tata Tiago,2016,Blue,417000
1990,chennai,Petrol,Hatchback,54538,Manual,2,Renault KWID,2016,Silver,334000
1991,chennai,Petrol,Sedan,32157,Manual,1,Maruti Swift Dzire,2017,White,590000
1992,chennai,Petrol,SUV,34182,Manual,1,Kia Seltos,2019,Red,1028999
1993,chennai,Petrol,SUV,81508,Manual,1,Nissan Magnite,2021,Red,711000
1994,chennai,Petrol,SUV,42036,Automatic,2,Tata Nexon,2020,Blue,950000
1995,chennai,Petrol,Sedan,80000,Manual,3,Chevrolet Aveo,2008,Others,140000
1996,chennai,Petrol,SUV,29640,Manual,1,Honda WR-V,2017,Silver,760000
1997,chennai,Diesel,Hatchback,100000,Manual,3,Hyundai i20,2012,Others,300000
1998,chennai,Diesel,SUV,32000,Manual,1,Ford Ecosport,2020,Blue,1080000
1999,chennai,Petrol,Sedan,23678,Manual,2,Maruti Ciaz,2016,Silver,650000
2000,chennai,Petrol,Hatchback,38502,Manual,1,Maruti Baleno,2018,Red,680000
2001,chennai,Petrol,Hatchback,30000,Manual,2,Ford Figo,2020,Others,515000
2002,chennai,Petrol,Hatchback,40091,Manual,1,Hyundai Grand i10,2019,Others,520000
2003,chennai,Petrol,Hatchback,48113,Manual,1,Renault KWID,2016,White,344000
2004,chennai,Petrol,SUV,50486,Manual,1,Hyundai Venue,2021,Blue,923000
2005,chennai,Petrol,Hatchback,26465,Automatic,1,Honda Jazz,2017,Silver,662000
2006,chennai,Petrol,Sedan,50000,Automatic,2,Mercedes-Benz C-Class,2008,Others,750000
2007,chennai,Petrol,Sedan,33246,Automatic,1,Maruti Swift Dzire,2017,Red,637000
2008,chennai,Diesel,SUV,30000,Manual,1,Ford Ecosport,2019,Others,800000
2009,chennai,Petrol,Hatchback,31754,Manual,1,Renault KWID,2021,Brown,454000
2010,chennai,Diesel,SUV,91992,Manual,2,Jeep Compass,2018,Silver,1184000
2011,chennai,Diesel,SUV,70000,Manual,1,Maruti Vitara Brezza,2019,Others,760000
2012,chennai,Diesel,MUV,60000,Manual,1,Toyota Innova,2013,Others,1100000
2013,chennai,Petrol,Hatchback,30000,Manual,1,Hyundai Grand i10,2019,Others,545000
2014,chennai,Petrol,Sedan,50000,Automatic,2,Skoda Rapid,2013,Others,400000
2015,chennai,Petrol,Hatchback,53250,Manual,1,Maruti Wagon R,2010,SILKY SILVER,254999
2016,chennai,Diesel,Hatchback,51555,Manual,1,Skoda Fabia,2010,Red,250000
2017,chennai,Petrol,Hatchback,10000,Manual,1,Maruti Swift,2022,Others,750000
2018,chennai,Diesel,Hatchback,40000,Manual,1,Hyundai i20,2019,Others,700000
2019,chennai,Petrol,Sedan,110000,Manual,1,Honda City,2011,Black,365000
2020,chennai,Petrol,Sedan,60000,Manual,1,Honda City,2017,Others,750000
2021,chennai,Petrol,Hatchback,85486,Manual,3,Hyundai EON,2014,Silver,254000
2022,chennai,Petrol,Hatchback,5022,Automatic,1,Tata Altroz,2022,Red,925000
2023,chennai,Petrol,Hatchback,39386,Automatic,1,Maruti Baleno,2019,Blue,750000
2024,chennai,Petrol,Hatchback,72679,Manual,2,Renault KWID,2016,White,326000
2025,chennai,Petrol,Hatchback,83738,Manual,2,Hyundai Grand i10,2015,Orange,432000
2026,chennai,Petrol,Hatchback,10551,Manual,1,Volkswagen Polo,2021,Red,950000
2027,chennai,Petrol,Hatchback,31795,Automatic,3,Maruti Celerio,2019,Blue,479000
2028,chennai,Petrol,Hatchback,76656,Manual,2,Maruti Ritz,2009,White,229999
2029,chennai,Petrol,Hatchback,52524,Manual,1,Datsun RediGO,2017,Silver,301000
2030,chennai,Diesel,Hatchback,96165,Manual,1,Maruti Swift,2013,Silver,443000
2031,chennai,Diesel,Hatchback,92860,Manual,1,Hyundai i20,2014,Grey,440000
2032,chennai,Petrol,MUV,46976,Manual,1,Maruti Ertiga,2013,White,660000
2033,chennai,Petrol,Hatchback,36383,Manual,1,Maruti Alto,2007,Maroon,165000
2034,chennai,Petrol,SUV,2000,Automatic,1,Mahindra XUV300,2022,Grey,1090000
2035,chennai,Petrol,SUV,26000,Automatic,1,Kia Sonet,2021,Maroon,1225000
2036,chennai,Petrol,Hatchback,42891,Automatic,1,Maruti Swift,2018,Blue,620000
2037,chennai,Petrol,Hatchback,34640,Manual,1,Maruti Wagon R,2015,Golden Brown,395000
2038,chennai,Petrol,Hatchback,40000,Manual,1,Maruti Baleno,2017,Others,580000
2039,chennai,Diesel,Sedan,129306,Manual,0,Maruti Swift Dzire,2009,Blue,310000
2040,chennai,Petrol,SUV,42662,Manual,1,Volkswagen Taigun,2021,Red,1450000
2041,chennai,Petrol,Sedan,64011,Automatic,1,Hyundai Xcent,2016,Silver,525000
2042,chennai,Petrol,Hatchback,85750,Manual,3,Maruti Swift,2013,Black,409999
2043,chennai,Petrol,Hatchback,24774,Manual,1,Honda Jazz,2021,Grey,865000
2044,chennai,Petrol,Hatchback,74348,Manual,1,Hyundai Grand i10,2019,Red,581000
2045,chennai,Petrol,Sedan,40711,Manual,1,Tata Tigor,2017,Red,518000
2046,chennai,Petrol,Hatchback,39386,Automatic,1,Maruti Baleno,2019,Blue,790000
2047,chennai,Petrol,Hatchback,93806,Manual,2,Maruti Baleno,2016,Red,547000
2048,chennai,Diesel,Hatchback,80000,Manual,1,Ford Figo,2014,Others,300000
2049,chennai,Petrol,Hatchback,86304,Manual,1,Tata Tiago,2016,Others,407000
2050,chennai,Petrol,SUV,46566,Manual,2,Honda WR-V,2019,Silver,692000
2051,chennai,Petrol,Hatchback,74367,Manual,1,Maruti Swift,2015,Grey,455000
2052,chennai,Petrol,Hatchback,48098,Manual,1,Maruti Alto 800,2016,Grey,295000
2053,chennai,Petrol,Sedan,36408,Automatic,2,Honda City,2014,Silver,680000
2054,chennai,Diesel,MUV,60000,Manual,1,Maruti Ertiga,2017,Others,985000
2055,chennai,Petrol,Hatchback,61696,Manual,2,Hyundai i10,2014,Silver,340000
2056,chennai,Diesel,Hatchback,110000,Manual,1,Tata Indica,2007,Brown,100000
2057,chennai,Petrol,Hatchback,85223,Manual,1,Maruti Celerio,2015,Yellow,365000
2058,chennai,Diesel,MUV,120000,Manual,1,Toyota Innova,2012,Gray,1050000
2059,chennai,Diesel,Sedan,110000,Manual,2,Tata Indigo,2013,Others,183000
2060,chennai,Petrol,Hatchback,33961,Manual,1,Volkswagen Polo,2016,Blue,660000
2061,chennai,Petrol,Sedan,76597,Manual,2,Honda Amaze,2014,Others,403000
2062,chennai,Petrol,Hatchback,36573,Manual,3,Maruti Baleno,2017,White,563000
2063,chennai,Petrol,Hatchback,45636,Automatic,1,Maruti Wagon R,2016,Silver,436000
2064,chennai,Petrol,Sedan,58698,Automatic,1,Maruti Ciaz,2017,Silver,681000
2065,chennai,Petrol,Hatchback,10000,Manual,1,Maruti Wagon R,2023,Others,590000
2066,chennai,Diesel,Hatchback,77603,Manual,1,Maruti Baleno,2016,Silver,632000
2067,chennai,Diesel,SUV,60000,Automatic,1,Maruti Vitara Brezza,2019,Red,890000
2068,chennai,Diesel,Sedan,65675,Automatic,2,Honda Amaze,2018,Silver,726000
2069,chennai,Diesel,Sedan,120797,Manual,1,Maruti Swift Dzire,2015,Silver,551000
2070,chennai,Petrol,Hatchback,10000,Automatic,1,Hyundai i20,2019,White,850000
2071,chennai,Petrol,Hatchback,18228,Manual,2,Maruti Alto K10,2018,Grey,382000
2072,chennai,Diesel,Sedan,33654,Manual,1,Maruti Swift Dzire,2017,Silver,765000
2073,chennai,Petrol,Hatchback,61633,Manual,2,Maruti Zen Estilo,2010,Silver,195000
2074,chennai,Petrol,Hatchback,45333,Manual,1,Renault KWID,2018,Silver,390000
2075,chennai,Diesel,Hatchback,63670,Manual,1,Hyundai Grand i10,2018,Red,480000
2076,chennai,Diesel,Hatchback,95535,Manual,1,Maruti Swift,2013,Grey,455000
2077,chennai,Diesel,Hatchback,80000,Manual,2,Volkswagen Polo,2015,Others,520000
2078,chennai,Petrol,SUV,42375,Manual,2,Honda WR-V,2017,Silver,782000
2079,chennai,Diesel,Sedan,63155,Manual,2,Hyundai Xcent,2018,Silver,611000
2080,chennai,Diesel,SUV,85000,Manual,2,Toyota Fortuner,2015,White,1700000
2081,chennai,Diesel,Sedan,106121,Manual,1,Maruti Swift Dzire,2014,Silver,515000
2082,chennai,Petrol,Hatchback,51012,Manual,1,Maruti Swift,2022,Others,679000
2083,chennai,Petrol,Sedan,62930,Manual,1,Maruti Swift Dzire,2012,Grey,409999
2084,chennai,Diesel,SUV,111242,Manual,1,Mahindra TUV 300,2019,Others,798000
2085,chennai,Petrol,SUV,16000,Manual,1,Kia Sonet,2022,Maroon,944999
2086,chennai,Diesel,SUV,72898,Manual,1,Renault Duster,2018,White,885000
2087,chennai,Petrol,Hatchback,97326,Manual,1,Hyundai i20,2018,Silver,574000
2088,chennai,Diesel,SUV,1870,Manual,1,Honda WR-V,2018,PREMIUM AMBER METALLIC,710000
2089,chennai,Petrol,Hatchback,10000,Automatic,1,Hyundai Santro,2022,Black,620000
2090,chennai,Diesel,Hatchback,110000,Manual,1,Chevrolet Beat,2016,Others,225000
2091,chennai,Petrol,Hatchback,20000,Manual,1,Maruti Ignis,2017,Red,500000
2092,chennai,Diesel,SUV,70000,Manual,1,Hyundai Creta,2018,Others,1150000
2093,chennai,Petrol,Hatchback,30000,Manual,1,Datsun RediGO,2018,Others,285000
2094,chennai,Petrol,Sedan,71887,Manual,2,Honda City,2015,TITANIUM GREY,550000
2095,chennai,Diesel,Hatchback,100000,Manual,2,Ford Figo,2011,Others,200000
2096,chennai,Petrol,SUV,20000,Automatic,2,Skoda Kushaq,2021,White,1300000
2097,chennai,Petrol,SUV,61426,Manual,2,Renault Duster,2018,Brown,678000
2098,chennai,Petrol,Hatchback,121735,Manual,2,Toyota Etios Liva,2012,Black,310000
2099,chennai,Diesel,Hatchback,71195,Manual,1,Maruti Swift,2013,Red,430999
2100,chennai,Petrol,Sedan,91700,Automatic,1,Volkswagen Vento,2016,Brown,728000
2101,chennai,Petrol,Hatchback,132724,Manual,0,Maruti Alto K10,2015,Red,225000
2102,chennai,Diesel,SUV,59232,Manual,1,Maruti Vitara Brezza,2016,Silver,861000
2103,chennai,Petrol,Hatchback,55023,Automatic,1,Volkswagen Polo,2017,Red,780000
2104,chennai,Diesel,SUV,58323,Manual,1,Hyundai Creta,2020,Blue,1478000
2105,chennai,Diesel,SUV,73498,Manual,2,Mahindra TUV 300,2016,Black,695000
2106,chennai,Diesel,SUV,52743,Manual,1,Maruti Vitara Brezza,2018,White,800000
2107,chennai,Diesel,Sedan,100000,Manual,2,Hyundai Verna,2012,Others,420000
2108,chennai,Petrol,Hatchback,111350,Manual,1,Maruti Swift,2011,COPPER,290000
2109,chennai,Cng,Hatchback,20000,Manual,1,Tata Tiago,2022,Others,650000
2110,chennai,Diesel,Sedan,63134,Manual,1,Ford Aspire,2017,Silver,500000
2111,chennai,Petrol,Sedan,89547,Automatic,1,Honda City,2019,White,790000
2112,chennai,Diesel,SUV,25000,Manual,1,Ford Ecosport,2018,Blue,900000
2113,chennai,Petrol,Hatchback,61583,Manual,2,Volkswagen Polo,2016,Silver,568000
2114,chennai,Diesel,Sedan,102002,Manual,1,Honda Amaze,2015,Silver,461000
2115,chennai,Petrol,Hatchback,38980,Manual,2,Maruti Wagon R,2016,Grey,400000
2116,chennai,Petrol,Sedan,108463,Automatic,1,Hyundai Elantra,2017,Blue,983000
2117,chennai,Petrol,SUV,30033,Manual,1,Honda WR-V,2017,Brown,739000
2118,chennai,Petrol,Hatchback,29084,Manual,1,Renault KWID,2016,Brown,340000
2119,chennai,Petrol,Hatchback,69437,Manual,3,Maruti Celerio,2016,White,366000
2120,chennai,Petrol,Sedan,70000,Manual,2,Honda New Accord,2009,Others,300000
2121,chennai,Petrol,Hatchback,88122,Manual,3,Maruti Swift,2013,Others,368000
2122,chennai,Petrol,Sedan,98263,Manual,2,Volkswagen Vento,2011,Others,346000
2123,chennai,Petrol,Hatchback,73674,Manual,2,Honda Jazz,2016,White,450000
2124,chennai,Petrol,Hatchback,37718,Manual,1,Maruti Celerio,2016,Blue,450000
2125,chennai,Diesel,Hatchback,66030,Manual,1,Honda Jazz,2016,White,590000
2126,chennai,Petrol,Sedan,100000,Manual,1,Honda City,2008,Gray,200000
2127,chennai,Petrol,Hatchback,10000,Manual,1,Hyundai Grand i10,2013,Orange,300000
2128,chennai,Petrol,Hatchback,20000,Manual,1,Maruti Ritz,2010,Others,150000
2129,chennai,Petrol,Hatchback,56118,Automatic,1,Toyota Glanza,2020,Red,843000
2130,chennai,Petrol,Hatchback,93968,Manual,1,Hyundai i10,2012,Silver,300000
2131,chennai,Petrol,Hatchback,30000,Manual,1,Hyundai Grand i10 Nios,2021,Others,560000
2132,chennai,Petrol,Hatchback,41364,Manual,2,Volkswagen Polo,2020,White,744000
2133,chennai,Petrol,Sedan,108898,Automatic,2,Honda City,2013,Silver,419000
